Competência;Temática;Título;Instituição;Modalidade;Carga Horária;Público-Alvo;Link
fddijfioajofijdsa;Diversidade;SUPERANDO O CAPACITISMO NO SERVIÇO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2386/?area=24
dfifjia;Diversidade;PRATICANDO O LETRAMENTO SOCIAL NO SERVIÇO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2375/?area=19
dfkkap;Diversidade;INCLUSÃO DE GÊNERO NA PONTA DA LÍNGUA;https://acad-inpi.github.io/black/enap-logo.png;EAD;8 h/a;Gestores;https://www.escolavirtual.gov.br/curso/924
kokokapoakpd;Diversidade;EMPRESAS E DIREITOS HUMANOS;https://acad-inpi.github.io/black/enap-logo.png;EAD;30 h/a;Gestores;https://www.escolavirtual.gov.br/curso/333
kodksaosk;Diversidade;PLURALIDADE E INCLUSÃO NO SERVIÇO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;21 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2013/?area=24
dfkdpfkpoakdf;Diversidade;POLÍTICAS PÚBLICAS E INTERSECCIONALIDADES;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;25 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2441/?area=25
fddijfioajofijdsa;Diversidade;EMPRESAS E DIREITOS HUMANOS APLICADO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;22 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2043/?area=44
dfifjia;Diversidade;GESTÃO DE DIVERSIDADE NO SERVIÇO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;22 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2380/?area=44
dfkkap;Diversidade;PARTICIPAÇÃO EM COMISSÕES DE HETEROIDENTIFICAÇÃO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2254/?area=44
kokokapoakpd;Diversidade;SUPERANDO O CAPACITISMO NO SERVIÇO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2386/?area=24
kodksaosk;Diversidade;PRATICANDO O LETRAMENTO SOCIAL NO SERVIÇO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2375/?area=19
