Competência;Temática;Título;Instituição;Carga Horária;LINK;MODALIDADE
kokokapoakpd;Diversidade;SUPERANDO O CAPACITISMO NO SERVIÇO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2386/?area=24;REMOTO
kodksaosk;Diversidade;PRATICANDO O LETRAMENTO SOCIAL NO SERVIÇO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2375/?area=19;REMOTO
dfkdpfkpoakdf;Diversidade;INCLUSÃO DE GÊNERO NA PONTA DA LÍNGUA;https://acad-inpi.github.io/black/enap-logo.png;8 h/a;https://www.escolavirtual.gov.br/curso/924;EAD
fddijfioajofijdsa;Diversidade;EMPRESAS E DIREITOS HUMANOS;https://acad-inpi.github.io/black/enap-logo.png;30 h/a;https://www.escolavirtual.gov.br/curso/333;EAD
dfifjia;Tecnologia da Informação;GERENCIAMENTO DE CONTINUIDADE DE NEGÓCIOS NA ADMINISTRAÇÃO PÚBLICA ;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/808;EAD
dfkkap;Tecnologia da Informação;GOVERNO ABERTO ;https://acad-inpi.github.io/black/enap-logo.png;40 h/a;https://www.escolavirtual.gov.br/curso/140;EAD
kokokapoakpd;Tecnologia da Informação;APRENDENDO COM PYTHON ;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/629;EAD
kodksaosk;Tecnologia da Informação;NOVAS TECNOLOGIAS PARA A TRANSFORMAÇÃO DIGITAL ;https://acad-inpi.github.io/black/enap-logo.png;30 h/a;https://www.escolavirtual.gov.br/curso/367;EAD
dfkdpfkpoakdf;Tecnologia da Informação;GOVERNANÇA DE TIC NO CONTEXTO DA TRANSFORMAÇÃO DIGITAL ;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/379;EAD
fddijfioajofijdsa;Tecnologia da Informação;FUNDAMENTOS DE SEGURANÇA DA INFORMAÇÃO NA TRANSFORMAÇÃO DIGITAL ;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/916;EAD
dfifjia;Tecnologia da Informação;ELABORAÇÃO E MONITORAMENTO DO PDTIC ;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/531;EAD
dfkkap;Tecnologia da Informação;INTELIGÊNCIA ARTIFICIAL NO CONTEXTO DO SERVIÇO PÚBLICO ;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/377;EAD
kokokapoakpd;Tecnologia da Informação;CRIAÇÃO DE INDICADORES DE DESEMPENHO PARA A TRANSFORMAÇÃO DIGITAL ;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/801;EAD
kodksaosk;Tecnologia da Informação;GERENCIAMENTO DE SERVIÇOS DE TIC FOCADO NA ADMINISTRAÇÃO PÚBLICA ;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/535;EAD
dfkdpfkpoakdf;Tecnologia da Informação;AUTOMAÇÃO DE PROCESSOS ATRAVÉS DA RPA PARA TRANSFORMAÇÃO DIGITAL ;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/797;EAD
fddijfioajofijdsa;Tecnologia da Informação;ARQUITETURA DE SOLUÇÕES PARA TRANSFORMAÇÃO DIGITAL;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://www.escolavirtual.gov.br/curso/799;EAD
dfifjia;Tecnologia da Informação;SEGURANÇA DA INFORMAÇÃO NO CONTEXTO DA TRANSFORMAÇÃO DIGITAL ;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/378;EAD
dfkkap;Tecnologia da Informação;O PAPEL DO DEVOPS NA TRANSFORMAÇÃO DIGITAL DOS SERVIÇOS PÚBLICOS ;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://www.escolavirtual.gov.br/curso/366;EAD
kokokapoakpd;Tecnologia da Informação;ADMINISTRAÇÃO DE SERVIÇOS NA NUVEM DE GOVERNO ;https://acad-inpi.github.io/black/enap-logo.png;30 h/a;https://www.escolavirtual.gov.br/curso/259;EAD
kodksaosk;Tecnologia da Informação;GOVERNANÇA DE TIC PARA O GOVERNO DIGITAL ;https://acad-inpi.github.io/black/enap-logo.png;40 h/a;https://www.escolavirtual.gov.br/curso/348;EAD
